gene_id	protein_id	ncbi_annotation	uniprot_id	uniprot_reviewed	uniprot_function	ec	ko	kegg_gene	go	diamond_hit	rbh_hit	identity	query_coverage	subject_coverage	evalue	bitscore	reference_gene	reference_function	evidence_sources	evidence_class	conflict_flag
EHJ91818_1	EHJ91818.1	Oligopeptide transport system permease protein YejB	A0A265DUE2	UNKNOWN	Oligopeptide transport system permease protein YejB	MISSING	MISSING			MBB3332380.1	YES	88.0	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
EHJ91819_1	EHJ91819.1	ABC transporter permease	A0A265DU76	UNKNOWN	ABC transporter permease	MISSING	MISSING			MBB3332381.1	YES	84.0	95.6	97.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91820_1	EHJ91820.1	ABC-type dipeptide transporter (EC 7.4.2.9)	A0A265DU71	UNKNOWN	ABC-type dipeptide transporter (EC 7.4.2.9)	7.4.2.9	MISSING			MBB3332382.1	YES	74.1	97.4	99.1			Csal_3002	ABC transporter ATP-binding protein	UNIPROT;EC;HC_RBH	HIGH	NO
EHJ91821_1	EHJ91821.1	Pseudouridine synthase (EC 5.4.99.-)	A0ABX4G5P5	UNKNOWN	Responsible for synthesis of pseudouridine from uracil-516 in 16S ribosomal RNA..	5.4.99.-	MISSING			MBB3332384.1	YES	66.2	100.0	99.6			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91822.1	Omega-amidase YafV (EC 3.5.1.3)	A0ABX4G674	UNKNOWN	Omega-amidase YafV (EC 3.5.1.3)	3.5.1.3	MISSING			MBB3332385.1	YES	74.4	96.7	100.0			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91823.1	Protein RarD	A0ABX4G582	UNKNOWN	Protein RarD	MISSING	MISSING			MBB3332386.1	YES	76.1	92.8	99.3			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91824.1	Methyl-accepting chemotaxis protein	A0A265DUA9	UNKNOWN	Methyl-accepting chemotaxis protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91825_1	EHJ91825.1	Sodium-independent anion transporter	A0ABX4G6P8	UNKNOWN	Sodium-independent anion transporter	MISSING	MISSING			MBB3332389.1	YES	74.8	98.3	98.9			Csal_1994	sulfate permease	UNIPROT;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91826.1	ABC transporter permease	A0A265DU92	UNKNOWN	ABC transporter permease	MISSING	MISSING			MBB3330887.1	YES	62.4	95.5	96.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91827.1	ABC transporter ATP-binding protein	A0A265DV33	UNKNOWN	ABC transporter ATP-binding protein	MISSING	MISSING			MBB3330888.1	YES	74.5	95.4	91.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91828.1	MCE family protein	A0A265DU81	UNKNOWN	MCE family protein	MISSING	MISSING			MBB3330889.1	YES	45.4	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91829.1	ABC-type transport auxiliary lipoprotein component domain-containing protein	A0A265DUE7	UNKNOWN	ABC-type transport auxiliary lipoprotein component domain-containing protein	MISSING	MISSING			MBB3330890.1	YES	36.9	92.0	91.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91830.1	Serine/threonine protein kinase	A0A265DU79	UNKNOWN	Serine/threonine protein kinase	MISSING	MISSING			MBB3330909.1	YES	78.7	97.6	98.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91831.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	A0A265DU85	UNKNOWN	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	2.3.1.-	MISSING			MBB3330910.1	YES	68.3	78.0	99.3			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91832.1	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain)	A0A265DU80	UNKNOWN	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain)	1.2.4.4	MISSING			MBB3330911.1	YES	90.5	100.0	100.0			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91833.1	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain)	A0ABX4G592	UNKNOWN	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)..	1.2.4.4	MISSING			MBB3330912.1	YES	77.6	98.5	99.3			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
EHJ91834_1	EHJ91834.1	Osmoprotectant uptake system permease	A0A265DUC5	UNKNOWN	Osmoprotectant uptake system permease	MISSING	MISSING			MBB3330913.1	YES	70.9	92.1	89.7			Csal_2946	ABC transporter permease subunit	UNIPROT;HC_RBH;HALOGEM_RBH	HIGH	NO
EHJ91835_1	EHJ91835.1	Quaternary amine transport ATP-binding protein (EC 7.6.2.9)	A0A265DUG5	UNKNOWN	Quaternary amine transport ATP-binding protein (EC 7.6.2.9)	7.6.2.9	MISSING			MBB3330914.1	YES	73.4	98.1	96.3			Csal_2945	ABC transporter ATP-binding protein	UNIPROT;EC;HC_RBH;HALOGEM_RBH	HIGH	NO
EHJ91836_1	EHJ91836.1	ABC transporter permease	A0A265DUA5	UNKNOWN	ABC transporter permease	MISSING	MISSING			MBB3330915.1	YES	61.5	97.0	96.2			Csal_2944	ABC transporter permease	UNIPROT;HC_RBH;HALOGEM_RBH	HIGH	NO
EHJ91837_1	EHJ91837.1	ABC transporter substrate-binding protein	A0A265DV43	UNKNOWN	ABC transporter substrate-binding protein	MISSING	MISSING			MBB3330916.1	YES	76.1	95.4	93.8			Csal_2943	ABC transporter substrate-binding protein	UNIPROT;HC_RBH;HALOGEM_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91838.1	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	A0A265DV86	UNKNOWN	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	6.1.1.16	MISSING			MBB3330920.1	YES	75.6	98.3	99.1			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91839.1	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	A0A265DU94	UNKNOWN	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	6.1.1.18	MISSING			MBB3330921.1	YES	87.6	98.9	99.8			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91840.1	hypothetical protein KUC_3398	UNMAPPED	UNKNOWN	hypothetical protein KUC_3398	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91841.1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	A0A265DUF8	UNKNOWN	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides..	5.2.1.8	MISSING			MBB3330922.1	YES	81.2	100.0	99.4			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91842.1	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	A0A265DU93	UNKNOWN	Hydrolyzes the pyrophosphate bond of UDP-2,3-diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell..	3.6.1.54	MISSING			MBB3330923.1	YES	60.2	99.2	97.7			Csal_2054	UDP-2,3-diacylglucosamine diphosphatase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91843.1	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	A0A265DU90	UNKNOWN	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	MISSING	MISSING			MBB3330925.1	YES	63.5	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91844.1	HU family DNA-binding protein	A0A265DU91	UNKNOWN	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions..	MISSING	MISSING			MBB3330926.1	YES	93.3	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91845.1	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	A0A265DU98	UNKNOWN	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner..	3.4.21.53	MISSING			MBB3330927.1	YES	87.1	97.5	97.5			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91846.1	ATP-dependent Clp protease ATP-binding subunit ClpX	A0A265DUD5	UNKNOWN	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP..	MISSING	MISSING			MBB3330928.1	YES	93.0	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91847.1	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	A0A265DUH5	UNKNOWN	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins..	3.4.21.92	MISSING			MBB3330929.1	YES	91.7	99.0	99.5			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91848.1	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	A0A265DUB2	UNKNOWN	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase..	5.2.1.8	MISSING			MBB3330930.1	YES	81.6	97.8	97.8			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91849.1	Transmembrane protein	A0A265DV52	UNKNOWN	Transmembrane protein	MISSING	MISSING			MBB3330545.1	YES	60.5	93.4	91.2			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91850.1	Nitric oxide synthase	A0A265DUA2	UNKNOWN	Nitric oxide synthase	MISSING	MISSING			MBB3330546.1	YES	74.8	99.3	98.1			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91851.1	DUF2788 domain-containing protein	A0ABX4G5M6	UNKNOWN	DUF2788 domain-containing protein	MISSING	MISSING			MBB3330547.1	YES	86.6	97.1	95.7			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91852.1	Integration host factor subunit alpha (IHF-alpha)	A0A265DUA0	UNKNOWN	This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control..	MISSING	MISSING			MBB3330548.1	YES	93.9	98.0	99.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91853.1	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	A0A265DUA4	UNKNOWN	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	6.1.1.20	MISSING			MBB3330549.1	YES	75.1	99.9	99.9			Csal_1804	phenylalanine--tRNA ligase subunit beta	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91854.1	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	A0A265DUA3	UNKNOWN	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	6.1.1.20	MISSING			MBB3330550.1	YES	90.3	100.0	100.0			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91855.1	Large ribosomal subunit protein bL20	A0A265DUA8	UNKNOWN	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit..	MISSING	MISSING			MBB3330551.1	YES	94.0	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91856.1	Large ribosomal subunit protein bL35	A0A265DUE5	UNKNOWN	Large ribosomal subunit protein bL35	MISSING	MISSING			MBB3330552.1	YES	92.2	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91857.1	Translation initiation factor IF-3	A0ABX4G6S1	UNKNOWN	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrium between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins..	MISSING	MISSING			MBB3330553.1	YES	89.6	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91858.1	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	A0A265DUC2	UNKNOWN	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	6.1.1.3	MISSING			MBB3330554.1	YES	76.7	99.7	98.4			Csal_1799	threonine--tRNA ligase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
EHJ91859_1	EHJ91859.1	Flagellar motor protein MotB	A0A265DV63	UNKNOWN	Flagellar motor protein MotB	MISSING	MISSING			MBB3330555.1	YES	45.6	98.6	98.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91860.1	DUF2489 domain-containing protein	A0A265DUB3	UNKNOWN	DUF2489 domain-containing protein	MISSING	MISSING			MBB3330556.1	YES	55.5	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91861_1	EHJ91861.1	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)	A0ABX4G5C5	UNKNOWN	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group..	2.5.1.141	MISSING			MBB3330559.1	YES	73.7	92.6	96.3			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91862.1	Cytochrome B	A0A265DUB0	UNKNOWN	Cytochrome B	MISSING	MISSING			MBB3330560.1	YES	69.0	90.2	94.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91863.1	Thioredoxin domain-containing protein	A0A265DUB4	UNKNOWN	Thioredoxin domain-containing protein	MISSING	MISSING			MBB3330561.1	YES	51.2	90.1	96.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91864.1	hypothetical protein KUC_3422	UNMAPPED	UNKNOWN	hypothetical protein KUC_3422	MISSING	MISSING			MBB3330562.1	YES	62.3	55.1	90.2			UNMAPPED	MISSING	HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91865.1	DUF2909 domain-containing protein	A0A265DUB8	UNKNOWN	DUF2909 domain-containing protein	MISSING	MISSING			MBB3330563.1	YES	62.3	95.3	96.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
EHJ91866_1	EHJ91866.1	cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)	A0ABX4G5N6	UNKNOWN	cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)	7.1.1.9	MISSING			MBB3330564.1	YES	74.1	93.0	99.6			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
EHJ91867_1	EHJ91867.1	Cytochrome c oxidase assembly protein CtaG	A0A265DUJ4	UNKNOWN	Exerts its effect at some terminal stage of cytochrome c oxidase synthesis, probably by being involved in the insertion of the copper B into subunit I..	MISSING	MISSING			MBB3330565.1	YES	70.9	86.4	81.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
EHJ91868_1	EHJ91868.1	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	A0A265DUD1	UNKNOWN	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1-3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B..	7.1.1.9	MISSING			MBB3330566.1	YES	89.7	100.0	100.0			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
EHJ91869_1	EHJ91869.1	Cytochrome c oxidase subunit 2 (EC 7.1.1.9)	A0ABX4G6B7	UNKNOWN	Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B)..	7.1.1.9	MISSING			MBB3330567.1	YES	83.7	90.6	99.7			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91870.1	DUF2970 domain-containing protein	A0A265DUB9	UNKNOWN	DUF2970 domain-containing protein	MISSING	MISSING			MBB3330568.1	YES	52.6	100.0	100.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91871.1	DUF4124 domain-containing protein	A0A265DUI7	UNKNOWN	DUF4124 domain-containing protein	MISSING	MISSING			MBB3329175.1	YES	55.3	72.3	61.0			UNMAPPED	MISSING	UNIPROT;HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91872.1	ATP-dependent helicase HrpB	A0A265DUC3	UNKNOWN	ATP-dependent helicase HrpB	MISSING	MISSING			MBB3329181.1	YES	58.3	99.5	99.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91873.1	HTH-type transcriptional regulator RutR	UNMAPPED	UNKNOWN	HTH-type transcriptional regulator RutR	MISSING	MISSING			MBB3329184.1	YES	64.9	83.2	94.0			UNMAPPED	MISSING	HC_RBH	PROBABLE	NO
EHJ91874_1	EHJ91874.1	Xanthine dehydrogenase small subunit	A0ABX4G5Q7	UNKNOWN	Xanthine dehydrogenase small subunit	MISSING	MISSING			MBB3329185.1	YES	63.7	99.8	98.6			Csal_0527	2Fe-2S iron-sulfur cluster binding domain-containing protein	UNIPROT;HC_RBH	HIGH	NO
EHJ91875_1	EHJ91875.1	Xanthine dehydrogenase molybdopterin binding subunit	A0ABX4G5D6	UNKNOWN	Xanthine dehydrogenase molybdopterin binding subunit	MISSING	MISSING			MBB3329186.1	YES	80.0	94.7	99.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91876.1	Xanthine dehydrogenase accessory protein XdhC	A0A265DUF9	UNKNOWN	Xanthine dehydrogenase accessory protein XdhC	MISSING	MISSING			MBB3329187.1	YES	61.2	97.3	96.9			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91877_1	EHJ91877.1	Guanine deaminase (Guanase) (EC 3.5.4.3) (Guanine aminohydrolase)	A0A265DUL0	UNKNOWN	Catalyzes the hydrolytic deamination of guanine, producing xanthine and ammonia..	3.5.4.3	MISSING			MBB3329188.1	YES	71.0	99.3	99.5			Csal_1786	guanine deaminase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91878.1	hypothetical protein KUC_3436	UNMAPPED	UNKNOWN	hypothetical protein KUC_3436	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91879.1	Cytochrome-c peroxidase	A0A265DV92	UNKNOWN	Cytochrome-c peroxidase	MISSING	MISSING			MBB3329193.1	YES	80.6	95.7	99.1			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91880_1	EHJ91880.1	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	A0A265DUV4	UNKNOWN	Catalyzes the hydrolytic deamination of adenine to hypoxanthine. Plays an important role in the purine salvage pathway and in nitrogen catabolism..	3.5.4.2	MISSING			MBB3329194.1	YES	69.5	99.1	99.4			Csal_1983	adenosine deaminase	UNIPROT;EC;HC_RBH;HALOGEM_RBH	CONFLICT	YES
EHJ91881_1	EHJ91881.1	ABC transporter B family member 4	UNMAPPED	UNKNOWN	ABC transporter B family member 4	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91882.1	ATP-binding/permease protein CydC	UNMAPPED	UNKNOWN	ATP-binding/permease protein CydC	MISSING	MISSING			MBB3329196.1	YES	49.8	55.3	94.7			Csal_1998	thiol reductant ABC exporter subunit CydC	HC_RBH;HALOGEM_RBH	UNMAPPED	NO
EHJ91883_1	EHJ91883.1	Thiol reductant ABC exporter subunit CydD	A0A265DUW5	UNKNOWN	Thiol reductant ABC exporter subunit CydD	MISSING	MISSING			MBB3329197.1	YES	62.5	97.1	97.7			Csal_1999	thiol reductant ABC exporter subunit CydD	UNIPROT;HC_RBH;HALOGEM_RBH	HIGH	NO
EHJ91884_1	EHJ91884.1	Cytochrome d ubiquinol oxidase subunit II	A0A265DUW2	UNKNOWN	Cytochrome d ubiquinol oxidase subunit II	MISSING	MISSING			MBB3329198.1	YES	79.9	100.0	100.0			Csal_2000	cytochrome d ubiquinol oxidase subunit II	UNIPROT;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
EHJ91885_1	EHJ91885.1	Cytochrome ubiquinol oxidase subunit I	A0ABX4G6P4	UNKNOWN	Cytochrome ubiquinol oxidase subunit I	MISSING	MISSING			MBB3329199.1	YES	81.1	94.1	99.3			Csal_2001	cytochrome ubiquinol oxidase subunit I	UNIPROT;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
EHJ91886_1	EHJ91886.1	Calcium/sodium antiporter	A0A265DV55	UNKNOWN	Calcium/sodium antiporter	MISSING	MISSING			MBB3329200.1	YES	65.8	98.5	99.1			Csal_2006	calcium/sodium antiporter	UNIPROT;HC_RBH;HALOGEM_RBH	VERY_HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91887.1	Paraquat-inducible protein A	A0A265DUX9	UNKNOWN	Paraquat-inducible protein A	MISSING	MISSING			MBB3329201.1	YES	80.3	92.3	95.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91888.1	Mammalian cell entry protein	A0ABX4G694	UNKNOWN	Mammalian cell entry protein	MISSING	MISSING			MBB3329202.1	YES	74.5	94.1	99.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91889.1	hypothetical protein KUC_3447	UNMAPPED	UNKNOWN	hypothetical protein KUC_3447	MISSING	MISSING			MBB3329203.1	YES	51.3	39.0	87.6			UNMAPPED	MISSING	HC_RBH	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91890.1	ATP-dependent RNA helicase RhlE (EC 3.6.4.13)	A0A265DUX4	UNKNOWN	DEAD-box RNA helicase involved in ribosome assembly. Has RNA-dependent ATPase activity and unwinds double-stranded RNA..	3.6.4.13	MISSING			MBB3329205.1	YES	82.8	87.6	93.1			UNMAPPED	MISSING	UNIPROT;EC;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91891.1	Uncharacterized protein	A0ABX4G5X0	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91892_1	EHJ91892.1	MFS transporter	A0A265DUW3	UNKNOWN	MFS transporter	MISSING	MISSING			MBB3329207.1	YES	61.8	95.6	96.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91893.1	L-asparaginase 1	A0A265DUW7	UNKNOWN	L-asparaginase 1	MISSING	MISSING			MBB3332469.1	YES	62.5	99.4	98.3			Csal_2037	asparaginase	UNIPROT;HC_RBH;HALOGEM_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91894.1	DUF2789 domain-containing protein	A0ABX4G6H9	UNKNOWN	DUF2789 domain-containing protein	MISSING	MISSING			MBB3332468.1	YES	70.1	98.7	90.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	HIGH	NO
NOT_IN_CURRENT_CARVEME	EHJ91895.1	Sulfurtransferase	A0A265DUX3	UNKNOWN	Sulfurtransferase	MISSING	MISSING			MBB3332466.1	YES	66.2	88.0	97.5			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91896.1	Cyclase	A0A265DV10	UNKNOWN	Cyclase	MISSING	MISSING			MBB3332663.1	YES	77.9	100.0	98.6			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
